,Site,N2O,nirK,nirS,nrfA,nosZI,nosZII,Bac-amoA,Arch-amoA,n-damo,comammox
Y001,Iceland_fen_1,-0.37,9.620305099,8.516404574,6.25E+00,7.775948304,8.466887046,5.383270462,5.604408899,6.38914518,5.393525918
Y002,Iceland_fen_1,-1.51,9.048786508,7.870313809,5.42E+00,7.248142729,7.203434722,4.92321482,4.197370785,5.452919841,1
Y003,Iceland_fen_1,1.49,9.531443392,8.367904951,6.11E+00,7.68798843,7.727222554,5.163974942,4.695879842,5.886850989,1
Y004,Iceland_fen_1,0.00,9.894018017,8.840242276,6.15E+00,8.054658655,8.39609714,5.759998357,4.94293026,6.177490298,5.077393892
Y005,Iceland_drained_fen_2,-3.48,9.986993962,7.856065074,5.72E+00,8.398106734,9.57996511,5.400047739,5.6183032,6.164617915,6.346433272
Y006,Iceland_drained_fen_2,0.00,9.037362698,7.382383422,5.11E+00,7.759085625,8.696356145,5.367684443,4.687388126,5.198948602,5.179585019
Y007,Iceland_drained_fen_2,0.56,8.83729075,7.517088566,5.17E+00,7.503949925,9.122689279,4.648437097,6.240135944,5.198977758,5.579586686
Y008,Iceland_drained_fen_2,0.00,9.017976675,7.392964621,4.48E+00,7.539705594,9.210529567,7.559149197,5.654826905,5.213974724,5.677687526
Y009,Iceland_drained_fen,-0.95,9.154071803,8.638751586,5.66E+00,7.687635235,8.310107163,5.230804822,5.827891303,5.854305905,1
Y010,Iceland_drained_fen,0.00,9.218657949,8.386104712,0.00E+00,8.135772019,8.57924154,5.148019586,4.260141756,6.025939179,1
Y011,Iceland_drained_fen,0.00,7.376964742,1,0.00E+00,5.929248792,1,3.663828208,1,3.612179065,1
Y012,Iceland_drained_fen,0.00,7.252612898,5.392359762,0.00E+00,5.661317971,1,3.735978733,2.992673279,1,1
Y013,Iceland_fen,-0.99,8.504180469,7.307842744,3.65E+00,7.8890872,6.959790115,4.979647134,1,5.448667877,1
Y014,Iceland_fen,0.00,1,1,0.00E+00,1,1,1,1,1,1
Y015,Iceland_fen,-0.08,9.21125528,8.085345247,4.81E+00,8.319208019,7.478637281,5.553860535,1,5.831822581,1
Y016,Iceland_fen,-0.60,8.146564753,6.863794225,3.83E+00,7.243122808,1,1,1,4.392177344,1
Y017,Romania_bog_1,0.00,9.268526238,1,0.00E+00,7.608994687,1,5.159723109,1,5.866962544,5.177696472
Y018,Romania_bog_1,-0.01,8.656353915,6.608365839,4.44E+00,7.07351586,1,4.467839913,1,5.573840557,4.572364056
Y019,Romania_bog_1,0.18,9.353071875,1,5.37E+00,7.839354406,1,5.072164806,1,6.234134663,5.487695423
Y020,Romania_bog_forest_1,1.28,9.878357639,6.697710272,5.74E+00,8.393050494,7.002218409,1,8.408325368,6.969313892,1
Y021,Romania_bog_forest_1,0.12,9.753033272,1,4.36E+00,7.832492386,8.404805668,6.975372985,1,6.537903579,1
Y022,Romania_bog_forest_1,-0.37,10.01606578,6.833776672,4.44E+00,8.758543625,9.003276066,6.457043121,5.20518185,6.737857329,1
Y023,Brazil_drained_floodplain,20.69,10.21735893,9.698504845,5.71E+00,8.414886156,9.146936219,6.590006231,7.848581009,7.292454169,5.609294717
Y024,Brazil_drained_floodplain,16.33,9.99993415,9.247185161,5.26E+00,8.289311641,8.746641531,6.179091117,7.945885285,7.403001309,5.857886833
Y025,Brazil_drained_floodplain,3.64,10.20646169,9.601431345,5.77E+00,8.392436874,9.257894804,6.328841774,8.325251762,7.57309183,5.603357484
Y026,Brazil_floodplain,13.71,9.95759997,9.557791499,4.16E+00,8.014753617,8.653428172,5.095992199,8.448265934,5.905481836,6.080376594
Y027,Brazil_floodplain,0.01,10.30027463,9.782449808,4.88E+00,8.349894627,9.090185919,5.533739673,8.9740624,7.002944276,7.314818635
Y028,Brazil_floodplain,-0.22,10.03526968,9.642089032,5.13E+00,8.119317998,8.725859524,5.26582159,8.559872152,6.751501452,6.504754455
Y032,Quebec_drained_bog,19.78,9.680485352,8.431527348,5.85E+00,8.089621763,8.963639053,8.137213753,7.787280895,7.279058017,6.171761492
Y033,Quebec_drained_bog,112.32,9.375381189,7.562876189,5.66E+00,7.886865661,8.091943858,7.846819062,7.18326015,6.781214298,5.186905791
Y034,Quebec_drained_bog,58.73,9.491256871,7.670872946,5.88E+00,7.919202306,8.719489613,7.669963984,7.311752076,7.173130683,5.886078802
Y035,Bashkortostan_drained_floodplain_1,31.94,9.318627745,7.564547115,4.82E+00,7.741713859,8.753157112,8.745293868,6.408433951,5.49473982,5.435912684
Y036,Bashkortostan_drained_floodplain_1,4.73,9.456373742,7.987521697,4.46E+00,8.100238196,8.912541234,8.710775118,7.425890286,5.886873628,5.661138213
Y037,Bashkortostan_drained_floodplain_1,6.45,9.505600778,7.56684785,5.40E+00,7.99224196,8.93656685,8.125684499,7.620251979,5.574275558,5.70981774
Y038,Bashkortostan_fen,0.53,9.49123731,8.285401268,4.40E+00,7.816012826,8.907186345,6.569287359,5.965359559,7.421514207,5.361977529
Y039,Bashkortostan_fen,-0.12,9.643449164,8.525866427,4.41E+00,8.055321666,8.922792428,6.660659414,6.145722926,7.608421612,6.555455031
Y040,Bashkortostan_fen,-0.54,9.809871069,8.347978535,4.70E+00,8.202299752,8.765263061,6.233108618,4.931511255,7.427801487,5.817532193
Y041,Bashkortostan_drained_floodplain_2,78.70,9.756105828,7.302726182,4.13E+00,7.595490225,8.076603615,7.33590502,6.15381099,6.00912105,1
Y042,Bashkortostan_drained_floodplain_2,135.52,9.517113208,7.237953767,3.47E+00,7.345992004,7.811527912,7.271139342,6.327544975,5.762672769,1
Y043,Bashkortostan_drained_floodplain_2,206.05,9.502042088,7.03085691,3.80E+00,7.262816859,7.74949229,7.634407165,6.099554431,5.724649686,5.194583985
Y044,Bashkortostan_drained_fen,2.37,9.409058306,7.741316718,4.35E+00,7.959995386,8.741885442,6.654975819,7.892427075,6.242824928,4.786535954
Y045,Bashkortostan_drained_fen,4.64,9.312646199,7.830298521,3.85E+00,7.924629952,8.712428216,6.016668171,8.019983891,6.02142674,1
Y046,Estonia_drained_floodplain,13.63,9.771349068,9.069100645,6.79E+00,8.233657884,8.267309739,7.39832764,7.806332506,6.387323939,6.230136819
Y047,Estonia_drained_floodplain,33.58,9.622069718,8.907583687,0.00E+00,8.065121632,7.979952908,7.438416186,7.897298738,6.290031266,5.834208555
Y048,Estonia_drained_floodplain,177.04,10.19381472,9.075185594,6.88E+00,8.536195061,8.254477598,7.59610819,8.311230459,6.694201223,6.456834284
Y049,Florida_swamp_forest_1,4.57,9.498911132,8.420769343,5.25E+00,7.970574991,8.019752827,5.898853786,7.538487445,6.481488776,6.20486748
Y050,Florida_swamp_forest_1,14.02,9.810210902,9.688660092,5.56E+00,8.725034311,8.957554158,1,7.111962927,5.962979062,6.833847818
Y051,Florida_swamp_forest_1,19.20,10.02154484,9.786658925,5.96E+00,7.963330242,9.305525116,5.875449811,7.959697539,6.935852868,5.501307198
Y052,Florida_swamp_forest_1,28.06,9.828860944,9.098696867,3.88E+00,8.944398063,8.986872022,5.438276477,8.602071393,7.120467269,6.14588229
Y053,France_transitional_bog_1,1.15,9.298547247,7.252978098,5.85E+00,7.396005456,8.441179105,5.097324693,6.917360109,5.402137229,5.342821949
Y054,France_transitional_bog_1,-0.43,9.338316296,1,5.55E+00,7.164233875,8.29725855,5.303458465,6.308817873,5.432936872,1
Y055,Uganda_drained_fen_1,688.78,9.077953107,8.06627341,5.08E+00,8.516146912,8.604665921,5.800904633,8.210942106,5.898022905,5.106264489
Y056,Uganda_drained_fen_2,203.07,9.514629164,8.068671274,5.69E+00,8.783473687,8.978689215,6.013957477,8.482548782,6.71457401,5.037138946
Y057,Uganda_drained_fen_2,193.90,10.07947054,8.598068693,5.43E+00,7.971023164,8.834053718,6.603958093,9.043453608,5.94285692,5.279514164
Y058,Uganda_fen,29.11,9.62479165,7.616946111,5.11E+00,8.372241678,8.363590512,5.800591577,8.531017131,6.859504444,5.04689846
Y059,Uganda_fen,-0.54,9.60953416,7.800774713,5.36E+00,9.207783738,8.400469669,6.06629581,8.360804617,6.359479013,4.987822381
Y060,Uganda_drained_fen_1,239.69,9.721800598,9.009977257,6.09E+00,8.116367135,9.135868677,7.02186512,8.593659962,7.338788082,5.206723385
Y061,Uganda_drained_fen_2,146.70,10.36042695,9.781320548,6.11E+00,9.19149574,9.801740641,7.678366371,6.965340153,7.008918952,6.883210742
Y062,Uganda_drained_fen_2,254.97,9.526402155,8.880407984,5.52E+00,8.494076636,8.857522186,7.55468538,8.243838668,7.041311758,6.216790764
Y063,Siberia_bog_forest,0.00,9.044891867,1,0.00E+00,1,1,1,3.773049748,5.218653168,1
Y064,Siberia_bog_forest,-1.19,7.483113248,1,0.00E+00,1,1,3.610676834,1.535896565,4.271852496,1
Y065,Siberia_bog,0.10,8.395148403,1,0.00E+00,7.137423385,1,1,3.224966734,5.353524232,4.980044399
Y066,Siberia_bog,-0.93,8.104843011,1,5.11E+00,6.286149056,1,3.607543456,2.962551783,4.893996579,1
Y067,Siberia_bog_forest,0.00,8.977710965,1,5.36E+00,1,1,5.081947934,1,5.809842099,1
Y068,Siberia_bog,0.00,8.477996994,6.674563018,5.04E+00,6.090629564,1,4.675910718,4.086954414,1,1
Y069,Siberia_bog_forest,0.00,7.823060083,1,0.00E+00,1,1,4.162521964,1,4.369930505,1
Y070,Siberia_fen,0.20,9.563170606,8.415391668,4.61E+00,8.516248535,8.457353545,5.724117062,6.385746944,7.524566714,6.289491136
Y071,Siberia_fen,0.00,9.198337419,7.437010601,4.27E+00,8.269605535,8.738482706,6.550310126,5.024129504,7.103236959,5.687345536
Y072,France_transitional_bog_2,-0.55,9.451925325,7.264493119,4.74E+00,8.089227208,8.602786634,6.76019059,7.120830035,5.419231895,4.957394118
Y073,France_transitional_bog_2,0.27,9.465243003,7.882286885,4.59E+00,8.11073808,8.944991615,6.512230274,6.771317897,5.575741975,4.836563788
Y074,Estonia_floodplain,2.53,10.1425737,9.223392701,4.97E+00,9.169910735,9.399433168,7.200168109,8.474759433,6.346386255,7.05122002
Y075,Estonia_floodplain,26.66,9.634527271,8.710166755,4.78E+00,8.655816895,8.804143361,7.387731201,7.88345648,6.070340627,6.558007246
Y076,Estonia_floodplain,0.00,9.720026337,8.885769641,4.74E+00,8.841331096,8.946446901,6.959937494,7.071437296,5.796271277,6.50918865
Y077,Florida_swamp_forest_2,0.00,9.290464928,8.426659635,5.37E+00,8.043165232,8.430544976,6.983291705,7.611696103,6.398298616,5.742941423
Y078,Florida_swamp_forest_2,3.67,9.095970558,9.094407095,5.00E+00,8.250921498,8.774765721,5.635577364,6.875761102,6.269789262,5.929169684
Y079,Florida_swamp_forest_2,0.00,10.28132082,9.442771405,5.87E+00,8.842779111,9.300939171,6.592561174,8.486323307,7.900017511,6.328402559
Y080,Florida_swamp_forest_2,0.00,10.08328572,9.588893706,6.14E+00,8.849275042,9.257261805,6.632466784,8.801655139,7.413591847,6.356841394
Y081,Tasmania_blanket_bog,1.33,7.420864343,1,3.62E+00,5.768111429,1,5.124941053,3.391506595,3.785707917,1
Y082,Tasmania_blanket_bog,-1.03,7.20518476,6.597151119,3.61E+00,5.540350884,1,4.298135247,1,3.083152115,1
Y083,Tasmania_blanket_bog,0.00,6.516594794,1,0.00E+00,5.480706999,1,4.189189324,1,1,1
Y084,Tasmania_drained_fen_1,8.31,7.833009007,7.092916036,3.81E+00,8.45411347,7.11045488,6.758507828,5.711269916,5.491807694,1
Y085,Tasmania_drained_fen_2,10.48,10.16844021,8.238934605,4.36E+00,8.272712252,8.511656367,8.221713027,6.955506606,5.52419105,6.996092144
Y086,Tasmania_fen,0.98,9.209386274,8.414742457,5.44E+00,8.032979139,8.628595675,6.916247218,7.295972833,7.096785156,6.029867565
Y087,Tasmania_raised_bog,2.31,9.1224545,1,5.21E+00,6.523085311,7.896503083,4.835776573,5.011812139,5.890847258,6.203955704
Y088,Tasmania_raised_bog,-2.86,9.041028535,6.874664684,4.64E+00,7.735468162,1,5.644613898,6.425686817,5.893000292,4.430870756
Y089,Tasmania_raised_bog,0.00,10.39825929,8.94768014,3.88E+00,6.936409437,1,6.094537205,5.777779309,7.314250831,1
Y090,New_Zealand_drained_fen_1,74.59,8.774546549,7.59226752,4.72E+00,7.311964785,8.174363169,7.235453345,7.996733409,5.741758758,1
Y091,New_Zealand_fen_1,1.02,8.295306773,5.656529275,4.47E+00,5.895118357,1,4.262248603,1,5.610516247,4.938928254
Y092,New_Zealand_drained_fen_2,5.18,9.526668335,8.601290744,5.22E+00,7.604070982,7.954353873,6.832223455,6.083055152,5.64632444,1
Y093,New_Zealand_fen_2,0.67,9.345999975,8.249116016,4.95E+00,7.258115425,7.481858928,6.636351399,7.004098877,5.542241464,4.794475265
Y094,Romania_bog_forest_2,11.06,9.816075793,6.250343018,5.56E+00,7.861995178,7.86289671,5.542562074,6.724422339,7.972886774,1
Y095,Romania_bog_2,0.42,9.730731666,1,4.17E+00,8.231914234,8.277021149,6.059722506,1,6.675514979,5.476268265
Y096,Romania_bog_2,-0.22,8.310797995,1,2.29E+00,6.692781593,1,3.859009318,1,4.994015651,1
Y097,Romania_bog_2,-0.14,9.324737162,1,3.34E+00,7.642331217,1,4.605015496,1,6.306572423,1
Y098,Romania_bog_forest_2,-0.95,9.815292633,1,5.55E+00,7.504967377,7.77844098,5.521928769,5.059435604,6.03446424,5.561459112
Y099,Romania_bog_forest_2,0.49,9.686944449,1,5.55E+00,8.625861539,7.898622896,5.727921964,5.585630134,7.130747329,4.477345775
Y100,California_fen,0.47,8.984030597,9.716234153,6.36E+00,8.629145212,8.204760439,4.6715286,7.740186207,6.750606866,7.45076988
Y101,California_drained_fen,69.85,9.413954135,8.002501691,6.14E+00,8.121289255,8.80431137,8.04537573,7.676503618,5.305826478,1
Y102,French_Pyrenees_fen,27.66,11.07126116,8.794295444,5.54E+00,7.405087057,8.702609804,7.992023588,1,6.749395799,6.096293208
Y103,Catalonia_transitional_bog,0.00,9.338123101,7.989201202,3.24E+00,8.303232785,8.079515274,4.346332632,4.627820554,6.193909627,1
Y104,Catalonia_transitional_bog,0.00,9.268433387,7.429289167,3.67E+00,8.001155897,7.589026623,4.469813953,1,6.10660743,1
Y105,Catalonia_transitional_bog,18.90,8.994959514,7.842902976,2.73E+00,8.418799828,8.42353532,4.206354174,5.353551777,6.172670206,5.77468461
Y106,Wales_fen,0.00,10.09311376,6.86169039,6.11E+00,8.834312342,7.665447292,5.843885538,6.527606299,6.892017964,1
Y107,Wales_fen,0.00,10.35395364,7.545392376,6.52E+00,9.315441623,8.156967821,5.80751058,7.735332041,7.275328831,5.026005177
Y108,Wales_blanket_bog,0.00,10.26353995,6.70944551,6.56E+00,8.535958017,7.547096782,6.316627456,8.182055888,6.411899757,6.098865641
Y109,Wales_blanket_bog,0.00,9.776104888,6.203077161,6.42E+00,8.280452675,7.347457395,5.687826262,7.931918626,6.154547187,5.704949005
Y110,Wales_drained_bog,0.00,10.51467466,6.786991834,6.21E+00,7.978485884,8.298783564,6.885134442,7.620859555,6.546164833,5.85294647
Y111,Wales_drained_bog,0.00,10.26327764,6.936576686,5.96E+00,7.647013905,7.882742042,6.524029544,7.807478198,6.179124288,5.588189721
Y112,Tierra_del_Fuego_fen,0.00,9.944835817,8.690713233,5.39E+00,8.516573131,8.068973331,5.300727102,4.717362609,7.134008516,1
Y113,Tierra_del_Fuego_fen,0.00,9.758645677,8.847676349,5.62E+00,8.287910738,7.871226085,5.259825743,4.217662084,6.835877651,1
Y114,Tierra_del_Fuego_fen,0.00,9.91495802,8.906009563,5.92E+00,8.259789395,8.049192493,6.34812551,4.68408462,7.012205361,4.485903828
Y115,Tierra_del_Fuego_fen,0.00,9.904668228,8.828986962,5.79E+00,8.466881095,8.079989152,5.622809565,5.065484637,6.959008802,1
Y116,Tierra_del_Fuego_fen,0.00,9.89821454,8.000634256,6.27E+00,8.487277135,7.708013917,5.295441799,4.712129116,7.115460932,4.487833368
Y117,Tierra_del_Fuego_bog,7.40,9.87709675,7.197403934,4.91E+00,7.874647554,9.29935476,5.004569654,7.880839964,7.064222264,1
Y118,Tierra_del_Fuego_bog,-0.69,8.157732495,1,4.01E+00,5.302371167,1,4.028915087,3.240325804,4.761059128,1
Y119,Tierra_del_Fuego_bog,0.00,8.00234429,1,4.27E+00,1,1,3.965305669,3.56688622,4.807036875,1
Y120,Tierra_del_Fuego_bog,0.73,8.511145091,1,5.08E+00,5.487669277,7.486093987,3.531460476,4.554071762,5.393834414,1
Y121,Tierra_del_Fuego_bog,0.00,8.488724084,1,4.39E+00,5.078801015,7.245308308,4.506608744,3.749309017,5.700717613,1
Y122,Mexico_chinampa_1,13.70,8.920940202,7.085816375,2.92E+00,6.644875008,8.125942631,6.73657878,7.609495562,5.477089068,5.243482542
Y123,Mexico_chinampa_1,27.66,9.282160032,8.638538591,3.80E+00,7.362675226,8.392997941,7.301602922,7.99293711,6.084968212,6.578302818
Y124,Mexico_chinampa_2,98.33,8.959630499,8.217550166,4.75E+00,7.351499104,7.764060916,8.000328711,7.814739603,4.806666363,6.042727194
Y125,Mexico_chinampa_2,11.25,9.172523589,8.51670366,5.10E+00,7.639059769,7.998892174,7.824473926,8.140615941,5.268072119,6.05927938
Y126,Mexico_chinampa_2,6.53,9.295812537,8.414933383,5.10E+00,7.506085755,8.093359151,8.173516722,8.24537494,5.145516607,5.591739977
Y127,Mexico_chinampa_1,29.28,9.435040745,8.273520173,4.89E+00,7.554315096,8.64872678,7.327407583,7.883423471,6.001846878,6.07758724
Y128,Mexico_fen,12.28,10.06092776,9.190970839,5.81E+00,8.346052436,8.927050259,7.831444652,7.484267126,7.28554712,7.524813288
Y129,Mexico_fen,0.00,9.999687305,9.554605416,5.85E+00,8.447227565,9.121090589,6.998593598,7.261805276,6.597249282,7.662813015
Y130,Mexico_fen,-0.15,9.683189609,9.321342964,5.11E+00,8.318808437,8.626632757,6.942274936,7.187557588,6.777989596,6.33863118
Y131,Morocco_bog_1,-2.02,9.068489326,6.57650005,5.98E+00,7.019083797,7.79562209,5.415962603,6.417102982,6.343800893,3.958687649
Y132,Morocco_bog_2,-0.77,9.397337121,7.274689906,5.74E+00,8.225966248,7.893378245,4.286766678,7.632083687,6.467925897,4.283488785
Y133,Colombia_paramo,0.00,10.24007977,7.889081552,5.43E+00,9.03489762,8.007257973,5.715537527,6.16172538,6.620402285,6.442929423
Y134,Colombia_paramo,0.00,10.19651354,7.923971926,5.55E+00,8.973946919,7.698431441,5.875573658,5.752547807,6.486160909,6.489878923
Y135,Colombia_paramo,0.49,10.0243326,7.927511509,5.53E+00,8.83550176,7.125299958,5.466896959,5.353693423,6.335998656,6.353587929
Y136,Colombia_drained_paramo,-0.67,10.50737146,8.504015345,5.25E+00,9.379112059,7.971070144,6.218586074,7.488279685,8.134408249,5.798148507
Y137,Colombia_drained_paramo,0.64,10.38770624,8.319622666,5.23E+00,9.307796039,7.740263087,5.92055048,7.10998055,8.039495182,5.783416457
Y138,Colombia_drained_paramo,-1.71,10.33866996,8.282964058,5.05E+00,9.219452931,7.678374825,5.967749374,7.080566502,7.844498971,5.948571271
Y139,Pantanal_fen,-0.32,8.486463344,6.975636376,3.52E+00,7.02601522,7.309740657,1,6.143438637,4.912264206,1
Y140,Pantanal_fen,-0.19,8.405011738,6.565783847,3.41E+00,6.996001185,6.9880019,1,5.664385538,4.997201741,1
Y141,Pantanal_fen,-0.38,8.565777006,6.810418108,3.72E+00,7.582369663,7.369679552,1,6.210065971,4.830358766,1
Y142,Pantanal_fen,0.00,8.984446262,7.12547884,3.61E+00,8.043388698,7.445031828,1,6.283585868,5.588443112,1
Y143,Pantanal_fen,55.64,8.833629321,7.679362058,5.49E+00,7.825037499,8.172940455,1,6.834416539,4.784801634,1
Y144,Pantanal_fen,32.56,8.896417303,7.54820828,5.35E+00,7.90124275,8.449611019,1,6.264198876,5.191191739,1
Y145,Pantanal_swamp_forest,-0.43,8.973427391,8.086917993,4.51E+00,7.727977736,7.876520726,1,5.002073725,5.45865794,1
Y146,Pantanal_swamp_forest,0.00,8.990438467,8.050401242,4.30E+00,7.73251798,7.990666393,1,5.073901538,5.704748166,1
Y146B,Khabarovsk_fen,0.00,8.614103926,7.315747618,4.78E+00,8.131027235,1,7.777343507,5.445556808,5.978238152,1
Y147,Khabarovsk_drained_fen,0.00,10.10734977,7.735761383,0.00E+00,8.273299284,7.361182701,6.650957663,7.529041352,7.527223913,1
Y148,Kyrgyzstan_drained_fen,2.96,10.27413962,8.780150529,5.12E+00,8.48612194,7.461829403,7.839296309,6.272148408,6.809394531,6.196113478
Y149,Kyrgyzstan_drained_fen,-1.80,10.27915189,9.065676,5.25E+00,8.489891741,7.37152365,5.601202749,6.428191875,6.911232942,6.003522474
Y150,Kyrgyzstan_fen_1,-0.62,9.920260015,8.311608032,5.51E+00,7.222394742,7.574639874,5.109492742,1,6.592478242,4.932660277
Y151,Kyrgyzstan_fen_1,0.00,9.970240427,9.007586601,5.50E+00,7.697098205,8.02517436,5.090231156,4.820517467,6.818292927,4.764744616
Y152,Kyrgyzstan_fen_2,0.18,9.812482058,9.213628308,5.76E+00,7.716225794,7.883985964,5.391378771,1,6.898897778,1
Y153,Kyrgyzstan_fen_2,0.00,10.28166987,8.549067838,5.91E+00,7.539158861,7.814839103,5.87190711,5.519720065,7.246878847,5.409868678
Y154,Myanmar_drained_fen_1,76.71,8.879197277,8.341005168,4.99E+00,7.824026777,8.480149641,6.85319545,7.298433234,5.740916724,5.773692807
Y155,Myanmar_drained_fen_1,212.98,8.284946653,7.448707437,3.80E+00,7.063470007,7.772592963,6.122596911,6.183255481,1,4.948990581
Y156,Myanmar_drained_fen_2,66.31,10.09578302,9.06784668,5.91E+00,8.598661619,9.38037048,6.807850058,8.195978396,7.014897074,5.938952087
Y157,Myanmar_drained_fen_1,153.89,9.377789108,8.964242048,4.79E+00,8.366059687,8.900584769,7.343487415,8.168914489,6.430230488,6.544891924
Y158,Myanmar_drained_fen_2,-0.28,9.678790181,8.802791796,4.95E+00,8.413486212,9.164455759,7.273643139,8.317320069,6.707192722,6.366550138
Y159,Myanmar_fen,0.00,10.31231973,9.669949155,5.60E+00,8.93898583,9.630445753,6.45469737,8.499439946,6.786014622,6.653266384
Y160,Myanmar_drained_fen_2,68.02,9.735756304,8.886644495,4.84E+00,8.495562493,9.122471888,7.11302745,8.607941006,6.55591302,6.491948078
Y161,Myanmar_drained_fen_1,88.00,9.39512884,9.035208069,5.06E+00,8.230728052,8.970610201,6.820759926,7.997952071,6.352699078,6.541489159
Y162,Myanmar_fen,8.05,10.16458259,9.517993849,6.59E+00,8.7780658,9.649986973,7.785031874,8.399002414,6.699029824,6.788441691
Y163,Borneo_drained_swamp,446.46,8.334220136,1,0.00E+00,7.124056733,6.048722425,1,7.723367882,1,1
Y164,Borneo_drained_swamp,209.11,8.431606484,1,3.84E+00,7.063748302,6.571099285,1,7.618723731,1,1
Y165,Borneo_swamp_forest,25.82,9.362754271,5.971312857,3.77E+00,7.756290223,7.373482289,1,8.255301084,1,1
Y166,Borneo_swamp_forest,71.07,9.335705307,6.001749421,3.92E+00,7.363796872,7.222223253,1,7.832581522,1,1
Y167,Borneo_swamp_forest,1.22,9.178138073,5.986928404,4.75E+00,7.442685407,7.066856163,1,7.703592702,1,1
Y168,Borneo_swamp_forest,45.09,9.506012154,5.968175264,5.43E+00,8.089636459,7.633861386,1,8.655334397,1,1
Y169,Borneo_drained_swamp,113.17,8.506905873,1,0.00E+00,7.698637251,7.205582725,1,7.979355583,1,1
Y170,Borneo_drained_swamp,224.85,8.978297651,1,3.93E+00,7.747872869,7.288480114,1,7.953188414,1,1
Y171,Montana_Bog_2,-0.14,10.23451158,9.007324206,5.62E+00,7.954294238,8.520877442,6.698468947,7.326913082,6.771802168,5.817887731
Y172,Montana_Bog_2,-0.47,10.5458915,9.528704129,5.99E+00,8.246250446,8.811958293,7.453572283,7.408198421,7.273193044,5.83630525
Y173,Montana_Bog_2,0.00,10.16591559,9.025355406,5.58E+00,7.863865352,8.598514493,6.24203244,6.909133022,6.768483055,5.630182541
Y174,Montana_Bog_1,-1.71,10.10744971,7.648868763,5.30E+00,8.360408572,7.715146739,3.906857306,1,6.362697975,1
Y175,Montana_Bog_1,-0.61,10.27244612,7.913309067,5.28E+00,8.479277485,7.747781036,4.197349006,4.67095168,6.710771691,1
Y176,Montana_Bog_1,-0.44,10.20314039,8.089736152,4.87E+00,8.537795259,7.610853043,4.295761225,5.145928029,6.221803977,1
Y177,Taiwan_recreation,-1.07,9.156753738,8.337200354,5.42E+00,7.825681184,8.126591066,5.684294649,7.305596048,6.661312008,5.456412108
Y178,Taiwan_recreation,-1.07,8.874749279,8.502386788,4.93E+00,7.920910341,8.11355774,6.091528466,6.715640321,4.046796768,6.159559675
Y179,Taiwan_fen,-0.99,9.816770354,8.511404776,6.27E+00,8.20336321,8.304344234,6.046962848,8.173942602,6.515709963,5.885785098
Y180,Taiwan_fen,-0.99,9.198746244,8.109376207,5.87E+00,7.40764925,8.158161399,5.510857135,8.054009038,6.769503734,5.604010268
Y181,Finland_fen,-0.03,9.733832437,7.182193923,5.70E+00,7.622070847,7.767216207,5.475835485,4.384329975,6.404706445,1
Y182,Finland_fen,-0.45,9.289421387,6.611299436,0.00E+00,7.123562719,1,4.633911151,3.549144736,5.905415658,1
Y183,Finland_fen,-0.41,9.615856582,7.01097135,5.38E+00,7.174830605,1,5.740290308,4.549805305,6.416067183,1
Y184,Finland_drained_fen,-0.52,9.984391246,1,5.06E+00,6.352602085,7.038902728,5.794180753,4.935859969,6.549965743,1
Y185,Finland_drained_fen,-0.59,10.2007989,1,5.13E+00,7.013678066,7.495758095,6.102308824,4.912571491,6.544929508,1
Y186,Finland_drained_fen,-1.01,10.59143333,6.132051335,5.70E+00,7.322512948,8.304751119,6.877439415,5.111625498,7.549043027,1
Y187,Finland_drained_fen,-0.52,10.19713975,6.147536476,5.36E+00,6.988885823,7.794781744,5.649248089,4.844866396,6.427013239,1
Y188,Finland_drained_fen,-1.03,10.39178143,6.471368561,5.10E+00,7.267602206,8.021176499,6.930288723,4.799988957,7.055360392,1
Y189,Finland_drained_fen,-1.26,10.49344302,6.758623287,5.37E+00,7.314486703,8.121309111,7.446615933,4.753397796,7.355589504,1
Y190,Uganda_rice_paddy,0.00,9.611236842,8.35162122,4.75E+00,7.795907265,8.002539472,5.09837676,6.728148212,5.439023121,5.607681896
Y191,Uganda_rice_paddy,8.73,9.496170062,8.274800495,4.79E+00,7.850275715,7.646985564,5.656803478,6.896821377,5.318168544,5.4668803
Y192,Uganda_rice_paddy,2106.08,9.64651837,8.40426339,5.12E+00,7.915072541,7.915731038,5.791691672,6.70777748,5.475685854,5.650493403
Y193,Uganda_rice_paddy,96.02,9.658276725,8.403101708,4.94E+00,7.902521909,7.94752532,6.05520124,7.309786021,5.469115425,5.666438844
Y194,Florida_restored_wetland_wet,16.88,7.6703769,7.048683145,3.56E+00,6.659044987,7.35234364,3.698558615,5.836818153,5.518537,4.820977736
Y195,Florida_tomato_field,5.20,9.217978775,8.144267763,5.08E+00,8.139760004,7.511573834,5.98778033,7.397490721,6.534203279,5.641269408
Y196,Florida_restored_wetland_dry,8.58,8.073110112,6.750852601,4.75E+00,1,7.658419455,5.312722746,6.619616936,4.507978108,3.884365391
Y198,Morocco_bog_2,0.00,9.569099169,7.383055771,4.99E+00,7.255983398,8.343052649,4.787398565,7.174675112,5.894878328,3.88974978
Y199,Morocco_bog_2,1.03,10.1335459,7.882365556,5.50E+00,7.86814735,8.724693751,5.26460266,8.043987739,6.498129759,4.571428609
