X,Latitude,Longitude,pH,VPG,OrM,Water_content,P,K,Ca,Mg,NO3,NH4,N,C,C.N,Water_table,Temperature_20,MAT,MAP,,,
Bashkortostan_drained_fen,55.5476,55.598,6.755,5,0.29,0.350716667,1.504130906,1.941080568,4.239001086,3.129822502,0.875504982,-0.595166283,0.097488687,1.216737545,1.107239602,2.106077519,1.225739916,4.2,2.675778342,,,
Bashkortostan_drained_floodplain_1,55.4491,55.4865,4.456666667,5,0.342222222,0.208544444,1.650954758,2.459924976,3.624783841,2.851936107,1.108437227,1.502058223,NA,1.252610341,NA,1.698970004,1.214254974,4.3,2.699837726,,,
Bashkortostan_drained_floodplain_2,55.4337,55.4497,3.821111111,5,0.29,0.417777778,1.209515015,2.221167821,3.558397868,2.955094713,1.006513581,1.060109991,0.152288344,1.212897526,1.060609182,1.698970004,1.126023118,4.3,2.691081492,,,
Bashkortostan_fen,55.4804,55.9943,6.142222222,1,0.506666667,0.93,2.335085521,2.618003909,3.95185161,3.241578852,0.077973194,1.663962533,0.200485698,1.452144363,1.245110626,2.297395711,1.272615061,4.1,2.723455672,,,
Borneo_drained_swamp,5.322965,115.6649604,2.168333333,4.75,0.784166667,0.384166667,1.050347528,1.56019566,2.341154138,2.21163217,1.1532049,1.692766161,0.142493751,1.603748643,1.462487617,2.155336037,1.472512669,27.14166667,3.522824455,,,
Borneo_swamp_forest,5.3223,115.6581,2.303333334,5,0.793333334,0.61,2.019735774,2.357780848,2.235275877,2.587645498,1.503302565,1.661039287,0.266976056,1.616134036,1.355671711,2.158362492,1.424200817,27.1,3.536558443,,,
Brazil_drained_floodplain,-28.5523,-48.8076,5.902222222,4,0.368333333,0.78625,1.852954151,2.341771848,3.75694657,2.829071372,0.746616903,1.195369139,0.282924073,1.31692507,1.035037824,2.269512944,1.312106803,21.3,3.147676324,,,
Brazil_floodplain,-28.5527,-48.8079,6.317777778,1,0.221111111,0.906468889,1.42258984,2.527204419,3.452467949,3.323917073,0.526339277,1.045444686,0.06279083,1.104145551,1.041512299,2.315503864,1.281033367,21.3,3.147676324,,,
California_drained_fen,38.0169,-121.6203,5.736666667,3,0.27,0.962606483,1.752739694,2.494465356,3.884834998,3.320859135,0.596083702,0.781108836,0.025715384,1.22976714,1.204051756,2.28780173,1.347492642,16.7,2.572871602,,,
California_fen,38.0169,-121.6203,5.356666667,3,0.266666667,0.423333333,1.901875886,2.302489665,3.64761766,3.192316505,-0.32330639,0.700991998,0.086359831,1.234625388,1.148265557,2.283301229,1.350893809,16.7,2.572871602,,,
Catalonia_transitional_bog,42.6282,0.7607,4.182222222,4,0.644444444,0.736666667,2.003790723,2.624488362,3.495276,2.216215768,1.122434336,1.144954546,0.205925784,1.52026513,1.337768714,2.065704172,1.142667504,5.4,2.944482672,,,
Colombia_drained_paramo,6.643138,-75.6655,3.941111111,4.888888889,0.725555556,0.747777778,0.745681893,2.230752538,2.164121435,1.777297909,0,1.184186511,0.325196279,1.443905911,1.118449983,2.252853031,1.215431925,11.1,3.369030222,,,
Colombia_paramo,6.6699,-75.6681,3.455555555,1,0.456666667,0.803333333,1.763427993,2.61942032,2.343496122,1.905135995,0,1.798005745,0.235808908,1.593224513,1.355986443,2.274927193,1.121669252,9.5,3.398113692,,,
Estonia_drained_floodplain,58.4236,26.5123,6.451111111,5,0.475555555,0.685555556,1.68944699,2.284631228,3.984247194,2.84118352,1.478101332,0.906454765,0.37880152,1.424573131,1.055024408,2.256343515,0.962737538,5.7,2.783903579,,,
Estonia_floodplain,58.4142,26.4839,5.18,4.777777778,0.93,0.74,1.779892974,2.314447765,3.728985597,2.850102091,0.788089773,-1.238239167,0.40936947,1.749650444,1.339573576,2.224158832,0.916161396,5.7,2.790988475,,,
Finland_drained_fen,67.99785,24.212788,3.37,1,0.833333333,0.672933283,2.00434765,2.601563285,3.419927308,3.060842371,-0.68043131,1.572138127,0.045279504,1.656450823,1.660995816,2.279134394,0.805614118,0.1,2.633468456,,,
Finland_fen,67.997264,24.209086,3.853333333,1,0.836666667,0.73502758,0.401591986,1.814143968,3.223890915,2.632639475,-2.102984155,1.691128663,0.374442828,1.658617247,1.284584897,2.301029996,0.767155866,0.1,2.633468456,,,
Florida_restored_wetland_dry,26.46488,-81.7782,7.13,10,0.076666667,0.23,1.036229544,1.307923704,2.696763986,1.81738906,0.875022658,-0.074000734,0.322219295,0.420505837,0.098286542,1.903089987,1.409369471,23.3,3.116275588,,,
Florida_restored_wetland_wet,26.464938,-81.777874,5.673333333,10,0.063333333,0.86,-0.744727495,1.050766311,2.368082244,1.3468092,-0.755310639,0.961310331,-0.907747344,0.22184875,1.129596095,2.297760511,1.341104639,23.3,3.116275588,,,
Florida_swamp_forest_1,26.38,-81.58,5.403333333,4.666666667,0.659166667,0.625766667,1.730869718,2.397705426,3.885415032,2.779842906,1.861027837,0.56567076,0.366422957,1.564666064,1.183003339,2.102090526,1.303196057,23.3,3.116939647,,,
Florida_swamp_forest_2,26.38,-81.58,5.426666667,3.5,0.394166667,0.719875,1.894334527,2.202821947,3.732130288,2.605821115,0.765364268,-1.697164205,0.157859545,1.379335739,1.191459645,2.352825441,1.320146286,23.3,3.116939647,,,
Florida_tomato_field,26.3793,-81.6018,5.553333333,10,0.143333333,0.19,0.856124444,2.008245211,3.192441068,2.088466854,0.904661458,0.111262514,0.678214783,0.812913357,0.134698574,1.903089987,1.284806584,23.3,3.122215878,,,
France_transitional_bog_1,47.32,2.23,3.226666667,2,0.748333334,0.848333334,1.847500682,2.712531854,2.629903761,2.1831844,0.565257343,1.275119316,0.226170123,1.619788758,1.393282651,2.302114377,0.970811611,11.6,2.859138297,,,
France_transitional_bog_2,47.32,2.23,3.328333334,2,0.681666667,0.893333334,1.688790475,2.529951947,2.652455861,2.136937132,-0.985759562,1.552262523,0.2596735,1.577568388,1.319829116,2.261857386,1.176091259,11.6,2.859138297,,,
French_Pyrenees_fen,42.8032,1.424,4.646666667,3,0.723333333,0.91,1.876140831,2.383396423,3.672734972,2.460226096,0.484442208,1.47420169,0.412180448,1.609238576,1.197058128,2.263241435,1.154322514,6.8,3.058426024,,,
Iceland_drained_fen,64.8332,-22.916,3.96,1.571428571,0.5,0.83,0.332726932,2.437664511,2.876176587,2.650113164,0.094920115,1.331427297,0.22160051,1.447313109,1.221059444,2.187117663,0.969815141,4.5,3.037824751,,,
Iceland_drained_fen_2,64.28728,-15.462056,NA,NA,0.21,0.8,0.827046017,NA,NA,NA,-1.677780705,0.884682104,-0.30980392,0.834102656,1.133350014,2.176091259,1.039414119,4.4,3.16790781,,,
Iceland_fen_1,64.34564,-15.492474,NA,10,0.38,0.8975,-0.057991947,NA,NA,NA,-0.483464626,0.537378283,0.067256889,1.321857232,1.244509145,2.2955671,1.057856209,3.6,3.139564266,,,
Khabarovsk_drained_fen,48.49355,135.396294,3.78,10,0.166666667,0.440633333,1.197739886,2.191702464,2.72946178,2.198088651,-0.248207848,-0.41945515,-0.264933651,0.853900916,1.118834567,2,1.278753601,2.2,2.829946696,,,
Khabarovsk_fen,48.497288,135.412626,3.861694444,4.021978022,0.45881062,0.771342662,1.699405528,2.435696065,3.282371887,2.595728494,0.905853872,1.405965282,0.03200731,1.419544465,1.387537155,2.252339066,1.243067345,2.2,2.828015064,,,
Kyrgyzstan_drained_fen,41.7612,75.3748,7.095,5,0.376666667,0.745,1.871358849,2.324347629,3.83907562,2.775184317,-0.060480747,0.633131663,0.16879202,1.36601805,1.200578609,2.135132651,0.823908741,-1.1,2.492760389,,,
Kyrgyzstan_fen_1,41.9442,75.4276,5.926666667,4,0.585,0.935,1.429025157,2.597967448,3.906150005,2.854386009,-0.933053209,0.563876438,0.141449773,1.518557806,1.390474766,2.286680969,0.846130845,-0.9,2.445604203,,,
Kyrgyzstan_fen_2,41.894,75.350298,6.333333333,1.833333334,0.615,0.921666667,1.614879647,2.532699187,3.910341541,2.875648611,-0.429846388,1.078154616,0.176091259,1.529537289,1.401617702,2.2955671,0.809559715,-2.1,2.664641976,,,
Mexico_chinampa_1,19.29,-99.09,7.068888889,NA,0.092222222,0.445098444,2.569529962,2.799570274,3.647776222,3.194233663,2.192288303,0.556824948,-0.245821609,0.944071755,1.152183405,1.637934248,1.225883366,16.7,2.875639937,,,
Mexico_chinampa_2,19.29,-99.09,7.498888889,5,0.147777778,0.620784044,2.338013562,3.13503012,3.627832222,3.346302978,1.966712071,0.56014584,-0.068881289,1.063881809,1.133698731,1.698970004,1.154998459,16.7,2.875639937,,,
Mexico_fen,19.2862,-99.093,7.141111111,1,0.248888889,0.842500244,3.536773012,2.805296916,3.694917038,3.390972376,0.404339487,1.173276939,0.178337338,1.215843105,1.038339592,2.284054558,1.078778935,16.7,2.875061263,,,
Montana_Bog_1,45.524884,-111.018086,4.782222222,NA,0.661111111,0.734677778,2.388667492,2.809417545,3.62386009,2.870495593,-0.773256928,1.549873432,0.343233484,1.820289054,1.475293532,2.09806659,1.097295881,4.1,2.627365857,,,
Montana_bog_2,45.582581,-111.661221,6.243333333,NA,0.616666667,0.567922222,1.917517179,2.424845353,3.764614441,3.133655272,0.67105965,0.609404668,0.219497205,1.54687155,1.327667932,2.104373288,1.186893581,6.8,2.450249108,,,
Morocco_bog_1,35.2703,-6.0528,4.256666667,NA,0.09,0.8432629,1.069421409,1.844062773,2.45591024,2.061326797,-1.657577319,0.895017163,-0.585026652,0.753072124,1.338098776,2.276461804,1.301029996,17.9,2.851258349,,,
Morocco_bog_2,35.1866,-5.3622,3.794444444,NA,0.177222222,0.889678656,0.804025787,2.081227254,2.381185301,2.006907956,-1.756961951,1.05940352,-0.168201299,1.019600878,1.179317836,2.301029996,1.187520721,15.1,2.897077003,,,
Myanmar_drained_fen_1,20.64389675,96.891379,7.240833334,5,0.331666667,0.695,2.03531965,2.25999184,3.906690971,3.219881289,1.519499853,0.409228443,0.127374798,1.307204747,1.180654609,2.235528447,1.21240958,22.9,3.01745073,,,
Myanmar_drained_fen_2,20.63281033,96.90526433,6.424444444,4.333333333,0.424444444,0.853333333,2.044666041,2.417693074,3.8405835,3.154173665,1.325333187,1.156515499,0.229027334,1.396251023,1.171787903,2.22444673,1.189084621,22.9,3.039810554,,,
Myanmar_fen,20.6238465,96.911733,6.763333334,1,0.586666667,0.853333334,2.273522113,2.753965866,3.921498327,3.081857166,0.461648568,1.539598778,0.372912003,1.546604349,1.176489325,2.293362555,1.14561071,22.9,3.051731196,,,
New_Zealand_drained_fen_1,-37.4333,175.55,4.236666667,5,0.563333333,0.24,2.092685563,2.433631179,3.49610823,2.625350184,1.391464412,1.640911874,0.272615061,1.491361694,1.218746633,2.177055287,1.30463412,15.2,3.105510185,,,
New_Zealand_fen_1,-37.4333,175.55,3.61,2,0.83,0.796666667,1.683107103,2.80980653,2.792788444,2.696102904,0.089905111,1.252367514,-0.086186148,1.641143471,1.727329619,2.218360422,1.17801718,15.2,3.105510185,,,
New_Zealand_fen_2,-46.5356,168.4334,4.251666667,3,0.61,0.805,2.243757141,2.843256663,3.342004636,2.745920166,1.139196687,1.866444878,0.196820744,1.532329641,1.336297978,2.24674471,1.159867847,10.7,3.047664195,,,
Pantanal_pasture_1,-16.5054,-56.746,4.381666667,NA,0.011666667,0.7,-0.619788758,1.522509438,2.1775365,1.270989213,-1.582251592,0.142545884,-1.17609126,-0.245396871,0.929930839,2.25163822,1.397940009,26.5,3.107888025,,,
Pantanal_pasture_2,-16.512,-56.7493,3.926666667,NA,0.033333333,0.9,0.330751877,1.78101297,2.198886085,1.456441952,-1.571325372,1.107023319,-0.69179142,0.31033922,1.002030999,2.33243846,1.380211242,26.5,3.108226656,,,
Pantanal_pasture_3,-16.5398,-56.7234,3.741666667,NA,0.08,0.9,1.514481342,2.399228433,3.121107333,2.619362941,-1.373317532,1.764983921,-0.358195502,0.672097858,1.029754038,2.301029996,1.366422957,26.4,3.113943352,,,
Pantanal_swamp_forest,-16.4833,-56.7463,3.962513889,7.010989011,0.29440531,0.776941015,1.605305944,2.440848912,3.119607067,2.472262002,0.605237238,1.390498828,-0.066390405,1.241568543,1.277106969,2.275067399,1.301042813,26.5,3.112939976,,,
Quebec_drained_bog,45.1189,-74.2039,5.01,5,0.614444445,0.576666667,1.755366612,2.172310969,3.960495089,3.358157017,1.164881355,1.500861326,0.186893581,1.532895866,1.346334208,2.177376155,1.322449019,7.6,2.969881644,,,
Romania_bog_1,47.2591,25.3574,2.546666667,1,0.776666667,0.906666667,2.189190762,2.794436923,2.814069934,2.46339025,0.140926842,1.059437188,0.010017121,1.633636754,1.625776946,2.277227081,0.255272505,5.9,2.751279104,,,
Romania_bog_2,47.2591,25.3574,2.554444445,1,0.841111111,0.787777778,1.800640719,2.275981542,2.683722282,1.884864564,-0.897337658,0.799417138,0.008600172,1.650849868,1.643315608,2.257678575,1.096910013,5.9,2.751279104,,,
Romania_bog_forest_1,47.2591,25.3574,3.573333333,3,0.75,0.956666667,2.208889037,2.801106303,3.176747031,2.676458875,0.916980047,1.81349203,0.31666913,1.618082978,1.30669717,2.267171728,0.40936947,5.9,2.751279104,,,
Romania_bog_forest_2,47.2591,25.3574,2.887777778,2.666666667,0.716666667,0.773333333,1.813499444,2.457747367,2.467374578,1.993318639,-0.41894839,1.141589116,0.211298567,1.587785354,1.38219914,2.241933676,1.133538908,5.9,2.751279104,,,
Siberia_bog,60.88,68.7,2.723333334,1.666666667,0.768888889,0.872222222,1.900148561,2.95752109,2.764254197,2.384946487,-0.575844608,-0.893544669,-0.192314671,1.629737971,1.827594167,2.284806584,1.252043535,-0.6,2.717670503,,,
Siberia_bog_forest,60.88,68.7,2.585,3.25,0.806666667,0.906666667,2.075492215,2.847755119,2.767161434,2.377682574,-0.814363423,-0.373317534,-0.218244625,1.650226551,1.871347901,2.194745534,1.155589049,-0.6,2.717670503,,,
Siberia_fen,60.91,68.75,4.073333334,1,0.348333334,0.935,1.558808535,2.31409204,3.411075094,2.701514738,-0.124167343,1.204721245,0.182319527,1.272035099,1.077418774,2.277227081,1.094587577,-0.6,2.713490543,,,
Taiwan_fen,22.2011,120.8514,4.003333334,10,0.151666667,1.026027605,1.338489695,2.291442855,2.581418643,2.123432383,0,1.551677658,-0.263603498,0.916102862,1.175879243,2.301029996,1.346352974,23.3,3.361538971,,,
Taiwan_recreation,22.2006,120.8509,3.876666667,10,0.155,0.937074632,1.601371813,2.079362164,2.425887294,1.993619903,0,1.84510838,-0.232844134,0.956328539,1.1890099,2.293362555,1.33243846,23.3,3.361538971,,,
Tasmania_blanket_bog,-42.881,146.3799,2.861111111,6.333333333,0.507777778,0.841091822,1.015499467,2.260142969,2.579948648,2.735128514,-1.287724528,0.404681706,0.002885688,1.525951341,1.531180352,NA,1.206825876,10.2,3.177824972,,,
Tasmania_drained_fen_1,-40.866502,145.0653902,4.166666667,5,0.416666667,0.166666667,1.199846559,2.079410396,3.36995946,2.593839661,1.040338572,0.818005831,0.279514853,1.31868927,1.039174416,2.029383778,1.216605694,13.2,3.005180513,,,
Tasmania_drained_fen_2,-40.9231,144.8703,5.765,5,0.535,0.22,1.60943432,2.519447327,3.830958976,2.659202877,2.173535895,1.129528774,0.408239965,1.469674773,1.061434807,2.008600172,1.230448921,13.1,2.990338855,,,
Tasmania_fen,-40.9234,144.8726,5.38,5,0.156666667,0.930377467,2.242425468,1.812824261,3.29558689,2.547528576,0.78012521,0.413076132,-0.209949526,0.976655605,1.186605131,2.26245109,1.278753601,13.1,2.990338855,,,
Tasmania_raised_bog,-42.175597,146.578327,3.656666667,2,0.708333334,0.875,0.833678229,2.514656202,3.181014685,2.828799484,1.091432457,1.814180981,0.248382014,1.591806357,1.340099351,2.152288344,1.132473154,8.2,3.072065991,,,
Tierra_del_Fuego_bog,-54.74044,-67.87811,2.97,1,0.787333333,0.914666667,2.002574956,2.541481059,3.194608683,2.929621209,0.531649195,1.242011073,-0.040958608,1.608361983,1.691747285,2.246498581,0.815577748,5.3,2.615950052,,,
Tierra_del_Fuego_fen,-54.74044,-67.87811,5.250666667,1,0.770666667,0.87,2.020247998,2.440568016,3.624724074,2.7297467,0.33243846,1.183326797,0.473535628,1.643741014,1.171500248,2.27600199,0.850033258,5.3,2.615950052,,,
Uganda_drained_fen_1,-1.342,30.0253,5.126666667,4.333333333,0.693333333,0.663333333,1.94751541,2.285309713,3.573428628,3.674148362,2.15909575,0.716559775,0.404833717,1.584243251,1.179409534,2.22184875,1.28254659,18.3,2.948412966,,,
Uganda_drained_fen_2,-1.2308475,29.960741,4.564166667,4.583333334,0.630833334,0.67,1.726394367,2.227196596,3.417204502,3.342296158,1.709602058,1.289161433,0.431095598,1.544956405,1.116658817,2.203214259,1.239924813,17.9,2.980684974,,,
Uganda_fen,-1.342,30.0253,3.923333334,4.666666667,0.33,0.755,1.71213037,2.188403453,3.11588775,2.632248025,0.751920318,1.436957331,0.151267675,1.270096281,1.117127237,2.237208505,1.220108088,18.3,2.948412966,,,
Uganda_rice_paddy,0.933862667,34.028472,4.721666667,10,0.09,0.923333333,2.16327073,2.3525266,3.33415876,2.588499535,-1.112570259,1.726322331,-0.547702329,0.521356048,1.077320318,2.307139328,1.385010125,22.6,3.104487111,,,
Wales_blanket_bog,52.9997,-3.8036,2.953333334,1.333333334,0.815,0.928333334,2.142613648,2.544677697,2.752688528,2.712573946,-0.023038984,0.704436519,0.208172527,1.640315771,1.434452574,2.298853076,0.963787827,7.6,3.174350597,,,
Wales_drained_bog,52.9692,-3.8167,2.836666667,2.666666667,0.835,0.87,2.273784226,2.624192683,2.583293258,2.713887974,-0.169625217,0.269901923,0.211298567,1.662429889,1.451345925,2.275311355,0.964573881,7.6,3.176380692,,,
Wales_fen,53.0001,-3.775,3.888333334,2.666666667,0.815,0.885,2.143592434,2.552810119,3.468192198,2.471257475,-0.585026652,1.223149683,0.279514854,1.658315819,1.378792399,2.260071388,1.012837225,7.9,3.111934276,,,
