,Site,H10,N2O,,
Y001,Iceland_fen_1,1.173644748,-0.37,,
Y002,Iceland_fen_1,0.974945304,-1.51,,
Y003,Iceland_fen_1,1.034220358,1.49,,
Y004,Iceland_fen_1,1.155891679,0.00,,
Y005,Iceland_drained_fen_2,1.128504102,-3.48,,
Y006,Iceland_drained_fen_2,0.969702116,0.00,,
Y007,Iceland_drained_fen_2,0.942276714,0.56,,
Y008,Iceland_drained_fen_2,1.263805951,0.00,,
Y009,Iceland_drained_fen,0.972679118,-0.95,,
Y010,Iceland_drained_fen,1.456484227,0.00,,
Y011,Iceland_drained_fen,1.503926111,0.00,,
Y012,Iceland_drained_fen,1.448762776,0.00,,
Y013,Iceland_drained_fen,1.142623835,-0.99,,
Y014,Iceland_drained_fen,1.536541059,0.00,,
Y015,Iceland_drained_fen,1.147767264,-0.08,,
Y016,Iceland_drained_fen,0.852069921,-0.60,,
Y017,Romania_bog_1,1.277316227,0.00,,
Y018,Romania_bog_1,0.582486429,-0.01,,
Y019,Romania_bog_1,0.474284384,0.18,,
Y020,Romania_bog_forest_1,0.961987603,1.28,,
Y021,Romania_bog_forest_1,0.827252264,0.12,,
Y022,Romania_bog_forest_1,1.024250954,-0.37,,
Y023,Brazil_drained_floodplain,1.338873769,20.69,,
Y024,Brazil_drained_floodplain,1.341864512,16.33,,
Y025,Brazil_drained_floodplain,1.38752858,3.64,,
Y026,Brazil_floodplain,1.351511039,13.71,,
Y027,Brazil_floodplain,1.440075553,0.01,,
Y028,Brazil_floodplain,1.375680725,-0.22,,
Y032,Quebec_drained_bog,1.531141976,19.78,,
Y033,Quebec_drained_bog,1.378856817,112.32,,
Y034,Quebec_drained_bog,1.401127984,58.73,,
Y035,Bashkortostan_drained_floodplain_1,1.430467496,31.94,,
Y036,Bashkortostan_drained_floodplain_1,1.546287986,4.73,,
Y037,Bashkortostan_drained_floodplain_1,1.458989137,6.45,,
Y038,Bashkortostan_fen,1.248437107,0.53,,
Y039,Bashkortostan_fen,1.308242452,-0.12,,
Y040,Bashkortostan_fen,1.164155522,-0.54,,
Y041,Bashkortostan_drained_floodplain_2,0.940730374,78.70,,
Y042,Bashkortostan_drained_floodplain_2,0.968114231,135.52,,
Y043,Bashkortostan_drained_floodplain_2,0.979871223,206.05,,
Y044,Bashkortostan_drained_fen,1.378851319,2.37,,
Y045,Bashkortostan_drained_fen,1.394847188,4.64,,
Y046,Estonia_drained_floodplain,1.465331731,13.63,,
Y047,Estonia_drained_floodplain,1.41973139,33.58,,
Y048,Estonia_drained_floodplain,1.403240926,177.04,,
Y049,Florida_swamp_forest_1,1.31938981,4.57,,
Y050,Florida_swamp_forest_1,1.387428893,14.02,,
Y051,Florida_swamp_forest_1,1.339534632,19.20,,
Y052,Florida_swamp_forest_1,1.522330111,28.06,,
Y053,France_transitional_bog_1,1.128447232,1.15,,
Y054,France_transitional_bog_1,0.821346623,-0.43,,
Y055,Uganda_drained_fen_1,1.554458015,688.78,,
Y056,Uganda_drained_fen_2,1.503836468,203.07,,
Y057,Uganda_drained_fen_2,1.35735042,193.90,,
Y058,Uganda_fen,1.341956396,29.11,,
Y059,Uganda_fen,1.401164,-0.54,,
Y060,Uganda_drained_fen_1,1.528753224,239.69,,
Y061,Uganda_drained_fen_2,1.451334793,146.70,,
Y062,Uganda_drained_fen_2,1.621729764,254.97,,
Y063,Siberia_bog_forest,1.278939352,0.00,,
Y064,Siberia_bog_forest,0.005651315,-1.19,,
Y065,Siberia_bog,0.474842286,0.10,,
Y066,Siberia_bog,0.313801004,-0.93,,
Y067,Siberia_bog_forest,0.33393894,0.00,,
Y068,Siberia_bog,0.454732304,0.00,,
Y069,Siberia_bog_forest,1.174655362,0.00,,
Y070,Siberia_fen,1.303633367,0.20,,
Y071,Siberia_fen,1.174037022,0.00,,
Y072,France_transitional_bog_2,1.240894488,-0.55,,
Y073,France_transitional_bog_2,1.275820386,0.27,,
Y074,Estonia_floodplain,1.549092053,2.53,,
Y075,Estonia_floodplain,1.553526831,26.66,,
Y076,Estonia_floodplain,0,0.00,,
Y077,Florida_swamp_forest_2,1.125537765,0.00,,
Y078,Florida_swamp_forest_2,1.436806855,3.67,,
Y079,Florida_swamp_forest_2,0.886813447,0.00,,
Y080,Florida_swamp_forest_2,0.984469072,0.00,,
Y081,Tasmania_blanket_bog,0.374766295,1.33,,
Y082,Tasmania_blanket_bog,0.771783141,-1.03,,
Y083,Tasmania_blanket_bog,1.456242154,0.00,,
Y084,Tasmania_drained_fen_1,1.325467603,8.31,,
Y085,Tasmania_drained_fen_2,1.248231812,10.48,,
Y086,Tasmania_fen,1.507586262,0.98,,
Y087,Tasmania_raised_bog,0.713499765,2.31,,
Y088,Tasmania_raised_bog,0.787502801,-2.86,,
Y089,Tasmania_raised_bog,1.401645607,0.00,,
Y090,New_Zealand_drained_fen_1,1.564421242,74.59,,
Y091,New_Zealand_fen_1,0.292563017,1.02,,
Y092,New_Zealand_fen_2,1.165225363,5.18,,
Y093,New_Zealand_fen_2,1.146296462,0.67,,
Y094,Romania_bog_forest_2,0.750918475,11.06,,
Y095,Romania_bog_2,0.833311182,0.42,,
Y096,Romania_bog_2,0.334993815,-0.22,,
Y097,Romania_bog_2,0.373769223,-0.14,,
Y098,Romania_bog_forest_2,0.567533454,-0.95,,
Y099,Romania_bog_forest_2,0.85907204,0.49,,
Y100,California_fen,1.469726035,0.47,,
Y101,California_drained_fen,1.549541817,69.85,,
Y102,French_Pyrenees_fen,0.75630183,27.66,,
Y103,Catalonia_transitional_bog,0.98891385,0.00,,
Y104,Catalonia_transitional_bog,1.472373136,0.00,,
Y105,Catalonia_transitional_bog,1.319387341,18.90,,
Y106,Wales_fen,1.08630667,0.00,,
Y107,Wales_fen,1.205379642,0.00,,
Y108,Wales_blanket_bog,0.404585291,0.00,,
Y109,Wales_blanket_bog,0.470533196,0.00,,
Y110,Wales_drained_bog,0.001551564,0.00,,
Y111,Wales_drained_bog,0.01326434,0.00,,
Y112,Tierra_del_Fuego_fen,0.057408718,0.00,,
Y113,Tierra_del_Fuego_fen,1.266984317,0.00,,
Y114,Tierra_del_Fuego_fen,0.796902441,0.00,,
Y115,Tierra_del_Fuego_fen,0.475766186,0.00,,
Y116,Tierra_del_Fuego_fen,0.580047357,0.00,,
Y117,Tierra_del_Fuego_bog,1.11482128,7.40,,
Y118,Tierra_del_Fuego_bog,0.084944676,-0.69,,
Y119,Tierra_del_Fuego_bog,0.023550677,0.00,,
Y120,Tierra_del_Fuego_bog,0.609688816,0.73,,
Y121,Tierra_del_Fuego_bog,0.505389404,0.00,,
Y122,Mexico_chinampa_1,1.296874951,13.70,,
Y123,Mexico_chinampa_1,1.533016678,27.66,,
Y124,Mexico_chinampa_2,1.617155492,98.33,,
Y125,Mexico_chinampa_2,1.612149759,11.25,,
Y126,Mexico_chinampa_2,1.58757998,6.53,,
Y127,Mexico_chinampa_1,1.460612072,29.28,,
Y128,Mexico_fen,1.477338616,12.28,,
Y129,Mexico_fen,1.074338162,0.00,,
Y130,Mexico_fen,1.102037246,-0.15,,
Y131,Morocco_bog_1,0.952054204,-2.02,,
Y132,Morocco_bog_2,1.201230221,-0.77,,
Y133,Colombia_paramo,1.111040543,0.00,,
Y134,Colombia_paramo,1.116246954,0.00,,
Y135,Colombia_paramo,0.905055108,0.49,,
Y136,Colombia_drained_paramo,1.056131975,-0.67,,
Y137,Colombia_drained_paramo,1.007189711,0.64,,
Y138,Colombia_drained_paramo,1.003843494,-1.71,,
Y139,Pantanal_pasture_1,1.101784642,-0.32,,
Y140,Pantanal_pasture_1,0.964175965,-0.19,,
Y141,Pantanal_pasture_2,1.143297236,-0.38,,
Y142,Pantanal_pasture_2,0.95575652,0.00,,
Y143,Pantanal_pasture_3,1.359625707,55.64,,
Y144,Pantanal_pasture_3,1.284486454,32.56,,
Y145,Pantanal_swamp_forest,1.200210492,-0.43,,
Y146,Pantanal_swamp_forest,1.111575249,0.00,,
Y146B,Khabarovsk_fen,1.260115535,0.00,,
Y147,Khabarovsk_drained_fen,0.926542018,0.00,,
Y148,Kyrgyzstan_drained_fen,1.06369995,2.96,,
Y149,Kyrgyzstan_drained_fen,0.967849945,-1.80,,
Y150,Kyrgyzstan_fen_1,0.75468223,-0.62,,
Y151,Kyrgyzstan_fen_1,0.979402274,0.00,,
Y152,Kyrgyzstan_fen_2,1.036930407,0.18,,
Y153,Kyrgyzstan_fen_2,0.765281414,0.00,,
Y154,Myanmar_drained_fen_1,1.556346385,76.71,,
Y155,Myanmar_drained_fen_1,1.406136945,212.98,,
Y156,Myanmar_drained_fen_2,1.434275354,66.31,,
Y157,Myanmar_drained_fen_1,1.628384186,153.89,,
Y158,Myanmar_drained_fen_2,1.556233547,-0.28,,
Y159,Myanmar_fen,0.763112069,0.00,,
Y160,Myanmar_drained_fen_2,1.571711913,68.02,,
Y161,Myanmar_drained_fen_1,1.561602423,88.00,,
Y162,Myanmar_fen,1.563724605,8.05,,
Y163,Borneo_drained_swamp,1.013334981,446.46,,
Y164,Borneo_drained_swamp,1.023585757,209.11,,
Y165,Borneo_swamp_forest,1.025295474,25.82,,
Y166,Borneo_swamp_forest,0.876810769,71.07,,
Y167,Borneo_swamp_forest,0.919073602,1.22,,
Y168,Borneo_swamp_forest,1.121528716,45.09,,
Y169,Borneo_drained_swamp,1.224639212,113.17,,
Y170,Borneo_drained_swamp,1.082590625,224.85,,
Y171,Montana_bog_2,1.131164407,-0.14,,
Y172,Montana_bog_2,1.187324304,-0.47,,
Y173,Montana_bog_2,1.109274448,0.00,,
Y174,Montana_Bog_1,0.753519286,-1.71,,
Y175,Montana_Bog_1,0.758831107,-0.61,,
Y176,Montana_Bog_1,0.806586937,-0.44,,
Y177,Taiwan_recreation,1.344726153,-1.07,,
Y178,Taiwan_recreation,1.408725001,-1.07,,
Y179,Taiwan_fen,1.46711837,-0.99,,
Y180,Taiwan_fen,1.391773003,-0.99,,
Y181,Finland_fen,0.73413666,-0.03,,
Y182,Finland_fen,0.377775536,-0.45,,
Y183,Finland_fen,0.409533227,-0.41,,
Y184,Finland_drained_fen,0.230242596,-0.52,,
Y185,Finland_drained_fen,0.326823051,-0.59,,
Y186,Finland_drained_fen,0.481469799,-1.01,,
Y187,Finland_drained_fen,0.398860873,-0.52,,
Y188,Finland_drained_fen,0.490370763,-1.03,,
Y189,Finland_drained_fen,0.550020858,-1.26,,
Y190,Uganda_rice_paddy,0.841825116,0.00,,
Y191,Uganda_rice_paddy,1.131241462,8.73,,
Y192,Uganda_rice_paddy,1.124775201,2106.08,,
Y193,Uganda_rice_paddy,1.184786359,96.02,,
Y194,Florida_restored_wetland_wet,1.382455066,16.88,,
Y195,Florida_tomato_field,1.335451272,5.20,,
Y196,Florida_restored_wetland_dry,1.160517579,8.58,,
Y198,Morocco_bog_2,1.049159865,0.00,,
Y199,Morocco_bog_2,1.066353745,1.03,,
